TITLE,AUTHOR,YEAR PUBLISHED,URL
"Automate the Boring Stuff with Python, 2nd Edition",Al Sweigart,2019,https://automatetheboringstuff.com/
The Recursive Book of Recursion,Al Sweigart,2022,https://inventwithpython.com/recursion/
"Python Programming Exercises, Gently Explained",Al Sweigart,2022,https://inventwithpython.com/pythongently/
The Big Book of Small Python Projects,Al Sweigart,2021,https://inventwithpython.com/bigbookpython/
Beyond the Basic Stuff with Python,Al Sweigart,2020,https://inventwithpython.com/beyond/
Coding with Minecraft,Al Sweigart,2018,https://turtleappstore.com/book/
Cracking Codes with Python,Al Sweigart,2018,https://inventwithpython.com/cracking/
"Invent Your Own Computer Games with Python, 4th Edition",Al Sweigart,2016,https://inventwithpython.com/invent4thed/
Scratch 3 Programming Playground,Al Sweigart,2021,https://inventwithscratch.com/book3/
Making Games with Python & Pygame,Al Sweigart,2012,https://inventwithpython.com/pygame/